hour,is_weekend,is_raining,traffic_multiplier
6,1,1,1.219605392637744
19,1,1,1.3284305833739922
14,1,0,1.1940946639354313
10,1,0,1.0
7,0,0,1.0
20,1,1,1.2555614727117659
6,0,1,1.3499415275643663
18,1,1,1.3186605932304323
22,1,0,1.0
10,1,1,1.222354001154596
10,0,0,1.40413823858908
23,1,1,1.2752348147587789
20,1,1,1.2907826852256217
3,1,1,1.2801605380286758
7,0,0,1.0
23,0,0,1.0
2,0,1,1.3435724702326426
21,1,0,1.0
20,0,0,1.0
1,1,0,1.0
23,0,0,1.0
11,0,0,1.272594205466429
5,1,0,1.0
1,0,0,1.0
20,1,1,1.2397663386361297
0,1,0,1.0
11,0,0,1.1125714974944763
21,1,1,1.2452117539003993
11,1,1,1.5093907656378056
16,0,1,1.4513912051452251
9,0,1,1.7229741015558804
15,1,0,1.2000462957851603
14,0,1,1.35025771400089
14,1,1,1.43222241525886
18,1,0,1.0
11,0,0,1.113336460072605
22,0,0,1.0
19,0,1,1.9943431481829186
2,0,0,1.0
4,1,1,1.284165336155187
18,1,0,1.0
6,0,0,1.0
20,0,1,1.2906187807518865
8,1,0,1.0
6,1,0,1.0
17,1,0,1.0
3,1,0,1.0
13,0,0,1.1582968273685073
17,1,1,1.2440743134769732
8,1,1,1.3412491911739335
20,0,0,1.0
1,1,1,1.303341047599363
19,1,1,1.343911375044637
14,0,1,1.434370896970961
6,0,0,1.0
11,0,0,1.1129071767689354
7,1,0,1.0
14,1,1,1.4370949432844546
2,0,1,1.205091582027634
13,0,0,1.2614421992850835
16,1,0,1.1733986534163894
3,0,1,1.2134001939468608
17,0,1,2.059252504564896
7,0,0,1.0
3,1,1,1.2212733275510113
1,1,1,1.3164997401971932
5,1,1,1.320155698066532
21,1,1,1.2347861070059332
9,1,1,1.1632946260418344
3,1,1,1.150316928893268
21,0,1,1.254658492577799
17,1,0,1.0
11,1,0,1.168815098674071
1,0,1,1.3494263788316732
9,1,1,1.3044821999254568
3,1,1,1.3022550912700825
13,0,0,1.2910485536574687
15,0,0,1.2775448795786641
14,0,1,1.3468349402120532
7,1,0,1.0
13,0,1,1.474833231749671
22,1,1,1.2446345303261912
7,1,1,1.2760795462549654
20,1,1,1.331574535387048
15,1,1,1.4904809287780654
12,0,1,1.443262316439654
17,0,1,1.7249332111292917
14,1,0,1.1060759159908926
20,0,1,1.292550750952517
23,1,0,1.0
12,1,1,1.3125007777310573
8,1,1,1.2494404807113106
14,0,0,1.1839877370696477
12,1,0,1.1383672229202022
0,1,1,1.2167629823418475
6,0,0,1.0
8,0,1,1.9749339665403167
23,0,1,1.1643629167527831
0,0,0,1.0
11,1,0,1.2494631651145773
7,0,0,1.0
23,1,0,1.0
10,0,1,1.6798036302987682
18,0,0,1.5040250992168764
16,0,0,1.2175380255119639
7,0,0,1.0
2,0,0,1.0
2,0,0,1.0
0,1,1,1.2022656791881803
4,0,1,1.3469915939251662
9,0,0,1.5238912734910128
6,0,0,1.0
8,0,1,1.7024773124528676
6,1,0,1.0
8,0,1,2.035832908637587
7,0,1,1.2961368194841554
11,0,0,1.28360210201887
1,0,1,1.3323744969690015
0,1,0,1.0
15,0,0,1.2477891693157455
22,1,1,1.1895648857682646
22,0,1,1.3186746641350011
23,1,0,1.0
4,1,1,1.1907552068382128
2,0,0,1.0
11,0,1,1.5357003761286614
7,1,1,1.3017777700280893
21,1,0,1.0
2,0,0,1.0
0,1,0,1.0
2,1,1,1.256537136142763
4,1,0,1.0
14,0,0,1.227745236449844
13,1,1,1.460881734921694
2,1,1,1.211769454956324
0,1,0,1.0
4,0,0,1.0
22,0,0,1.0
13,1,0,1.2222714026196764
6,0,1,1.3428108260262979
8,1,1,1.1691148895325203
14,0,0,1.1045098443060173
14,0,0,1.1111499196940655
9,1,0,1.0
12,0,1,1.4420443088477208
18,0,0,1.6885031631735299
6,0,0,1.0
16,1,1,1.4899358372916176
19,0,1,1.8939106453411791
3,0,0,1.0
4,1,0,1.0
22,0,1,1.2283882379576876
6,0,0,1.0
12,0,0,1.1980008501528687
14,0,1,1.3559846414028485
10,0,1,1.6837171408637408
3,1,1,1.177347080545847
12,1,0,1.2528073646334943
6,0,1,1.1536075819009288
18,0,1,1.9409862461279919
21,0,0,1.0
1,1,0,1.0
9,1,1,1.3098476188406916
12,0,1,1.6179504251587837
20,0,0,1.0
5,1,0,1.0
11,0,1,1.4810054125842833
11,1,1,1.4019265659897107
19,1,0,1.0
10,0,1,1.6101731667762853
22,1,0,1.0
6,0,1,1.3238243228562068
0,0,0,1.0
0,0,0,1.0
19,0,1,1.893396074919826
12,0,1,1.5684217305862822
8,0,0,1.6763414017359253
2,1,1,1.3073937296873486
6,1,1,1.1732696899714807
5,1,1,1.2220324306427583
7,1,0,1.0
8,0,1,2.121869186701468
4,1,1,1.326815059262037
0,1,0,1.0
18,1,1,1.2404177020677944
9,0,1,1.9025563578238756
11,1,0,1.1297034848514236
23,0,0,1.0
14,1,1,1.429471953033236
21,0,1,1.2027014307041712
23,0,0,1.0
8,1,0,1.0
19,0,1,1.7251458885441888
16,0,1,1.5065954649167537
16,1,1,1.4038305282053694
19,1,0,1.0
11,1,1,1.4870455972352883
6,0,0,1.0
1,0,0,1.0
2,0,0,1.0
16,1,1,1.434314178617898
4,0,1,1.2743828842567755
16,0,1,1.4627093150132706
23,0,0,1.0
16,0,1,1.4093243827587312
16,0,0,1.2153934620936742
1,0,0,1.0
1,0,0,1.0
21,1,0,1.0
22,1,0,1.0
4,1,0,1.0
0,0,1,1.1804349203763835
0,0,0,1.0
18,1,1,1.185328605974094
1,0,0,1.0
20,1,1,1.207072277199571
11,0,1,1.5879957248998844
5,0,1,1.2823386603383007
22,1,1,1.3133915374788523
3,1,0,1.0
22,1,0,1.0
10,1,0,1.0
23,1,0,1.0
16,0,1,1.447381857728089
5,0,1,1.2689665427775008
23,0,1,1.217065801491787
4,1,0,1.0
19,1,1,1.3131710511491381
1,1,0,1.0
5,1,1,1.3105129068697248
21,1,1,1.3191417163433454
10,1,1,1.1731035800213965
15,0,1,1.6357974797571013
15,0,1,1.3346727327427323
0,0,0,1.0
8,0,1,1.8153884328764536
5,0,0,1.0
15,1,0,1.2126025886343326
2,1,0,1.0
19,1,0,1.0
3,1,0,1.0
18,1,0,1.0
2,1,0,1.0
18,0,0,1.5426487195304208
19,1,1,1.2076405387700078
6,1,1,1.2013983470621894
19,1,0,1.0
8,1,0,1.0
0,0,0,1.0
7,0,1,1.2828305530108963
6,1,1,1.2338775663039372
17,0,0,1.7861642797474446
7,0,0,1.0
0,1,1,1.2867686061290722
10,1,1,1.3084089182097922
17,1,0,1.0
22,1,0,1.0
9,1,0,1.0
2,0,0,1.0
6,1,1,1.2085483097166319
15,1,1,1.3634018492981015
15,1,0,1.1629163093092454
19,0,0,1.4808332660031696
16,1,0,1.2905284261601722
1,1,1,1.238797642868406
0,1,0,1.0
15,0,0,1.1349417184097572
11,1,0,1.1397301305362277
4,1,1,1.2061419484929188
4,1,0,1.0
22,0,1,1.3498632536379425
8,1,0,1.0
8,1,0,1.0
2,1,0,1.0
18,0,1,1.7229649611235298
15,1,0,1.2318656255968004
15,1,0,1.1587922752820596
2,1,1,1.1931608502119386
19,0,1,1.675991407665398
23,0,1,1.1711831379257547
21,1,0,1.0
23,0,1,1.1537293172829566
0,0,0,1.0
23,0,1,1.3109283394669355
19,1,1,1.1775789884829153
10,1,1,1.3051953699630485
16,0,0,1.259508495797332
7,0,0,1.0
3,0,0,1.0
5,1,0,1.0
7,1,0,1.0
19,0,0,1.6151678105316973
2,0,0,1.0
15,0,0,1.1619363916625902
2,0,0,1.0
17,1,1,1.1790065467499777
13,0,1,1.5176384185405571
17,1,0,1.0
1,0,0,1.0
21,0,0,1.0
2,0,0,1.0
15,0,1,1.382824509267739
8,0,1,1.93426484377244
3,1,0,1.0
0,0,1,1.223361177028001
3,0,1,1.23054232993034
0,0,0,1.0
13,1,0,1.1002711048995897
20,1,0,1.0
15,1,0,1.1994178618701594
19,1,1,1.300561798902202
23,0,0,1.0
7,0,1,1.3146537306229544
6,0,0,1.0
2,1,1,1.325879398661177
16,0,0,1.1975437736630739
0,0,0,1.0
15,1,1,1.3920311807652297
11,1,1,1.378570795830697
18,1,1,1.2239286235245044
21,0,0,1.0
22,0,1,1.2158610625729198
21,1,1,1.2347081154483015
13,0,1,1.5449026530074255
5,1,1,1.228896926269501
5,1,1,1.34622623914231
12,0,1,1.5041018189679172
18,1,1,1.2788052874223887
21,1,1,1.170444834226389
7,1,1,1.318904306262731
1,0,0,1.0
20,1,0,1.0
0,1,1,1.2664714910127932
14,1,0,1.2972134960419204
0,1,0,1.0
4,1,1,1.2772857487505698
15,1,1,1.576774865212313
18,1,1,1.2190922302936538
3,0,1,1.2019221250466423
2,0,1,1.236098716686302
16,1,1,1.391465209269096
16,0,0,1.2789195746701942
11,0,1,1.554198450890843
13,1,0,1.2620035556092526
20,0,1,1.261140972078389
5,1,1,1.3394080556288719
2,1,0,1.0
8,1,1,1.2509749630190614
4,1,1,1.327421302503734
23,1,0,1.0
16,0,1,1.3973574329199798
13,1,0,1.1836261365941863
20,0,1,1.2593251291886491
2,1,1,1.2606980540397648
0,1,0,1.0
19,1,1,1.2492797843354169
20,0,0,1.0
22,1,0,1.0
0,1,0,1.0
2,1,1,1.2112001947166335
17,1,1,1.335441292958166
9,0,0,1.6354344389397018
21,1,1,1.231547843238319
2,0,1,1.2802353921487235
7,1,1,1.303593351561961
13,0,0,1.2921456176456485
23,0,1,1.2499098324535165
17,1,0,1.0
14,1,1,1.36057286235746
21,0,1,1.2457941122906941
22,1,0,1.0
1,1,1,1.3293988156371348
9,1,0,1.0
1,0,1,1.2289601536925905
16,1,0,1.2906648529774276
7,1,1,1.247026381542867
0,1,1,1.3447561001957857
8,0,1,1.7330424034136542
10,1,0,1.0
21,0,0,1.0
15,1,0,1.2862240903886701
6,0,1,1.3422041871530426
9,1,0,1.0
22,1,0,1.0
2,0,0,1.0
17,0,0,1.405230613669846
23,0,0,1.0
12,1,0,1.1343401673100617
6,1,0,1.0
3,1,0,1.0
12,1,0,1.2307529006186473
19,0,0,1.4101890766940428
0,1,1,1.1627217992353
7,1,1,1.1942157747386883
